,NFL Team,W,L,T,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Strk,Last 5
0,Chicago Bears,3,14,0,0.176,326,463,-137,2 - 7 - 0,1 - 7 - 0,0 - 6 - 0,0.000,1 - 11 - 0,0.083,2 - 3 - 0,10L,0 - 5 - 0
1,Houston Texans,3,13,1,0.206,289,420,-131,0 - 7 - 1,3 - 6 - 0,3 - 2 - 1,0.583,3 - 8 - 1,0.292,0 - 5 - 0,1W,2 - 3 - 0
2,Arizona Cardinals,4,13,0,0.235,340,449,-109,1 - 8 - 0,3 - 5 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,1 - 4 - 0,7L,0 - 5 - 0
3,Indianapolis Colts,4,12,1,0.265,289,427,-138,2 - 6 - 0,2 - 6 - 1,1 - 4 - 1,0.250,4 - 7 - 1,0.375,0 - 5 - 0,7L,0 - 5 - 0
4,Denver Broncos,5,12,0,0.294,287,359,-72,4 - 4 - 0,1 - 8 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,2 - 3 - 0,1W,2 - 3 - 0
5,Los Angeles Rams,5,12,0,0.294,307,384,-77,4 - 5 - 0,1 - 7 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,2 - 3 - 0,2L,2 - 3 - 0
6,Las Vegas Raiders,6,11,0,0.353,395,418,-23,4 - 4 - 0,2 - 7 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,1 - 4 - 0,3L,1 - 4 - 0
7,Atlanta Falcons,7,10,0,0.412,365,386,-21,6 - 3 - 0,1 - 7 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.500,1 - 4 - 0,2W,2 - 3 - 0
8,Carolina Panthers,7,10,0,0.412,347,374,-27,5 - 4 - 0,2 - 6 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.500,1 - 4 - 0,1W,3 - 2 - 0
9,Cleveland Browns,7,10,0,0.412,361,381,-20,4 - 4 - 0,3 - 6 - 0,3 - 3 - 0,0.500,4 - 8 - 0,0.333,3 - 2 - 0,1L,2 - 3 - 0
10,New Orleans Saints,7,10,0,0.412,330,345,-15,4 - 5 - 0,3 - 5 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,2 - 3 - 0,1L,3 - 2 - 0
11,New York Jets,7,10,0,0.412,296,316,-20,3 - 5 - 0,4 - 5 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,2 - 3 - 0,6L,0 - 5 - 0
12,Tennessee Titans,7,10,0,0.412,298,359,-61,3 - 5 - 0,4 - 5 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,2 - 3 - 0,7L,0 - 5 - 0
13,Green Bay Packers,8,9,0,0.471,370,371,-1,5 - 4 - 0,3 - 5 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,2 - 3 - 0,1L,4 - 1 - 0
14,New England Patriots,8,9,0,0.471,364,347,17,4 - 4 - 0,4 - 5 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,2 - 3 - 0,1L,2 - 3 - 0
15,Tampa Bay Buccaneers xz,8,9,0,0.471,313,358,-45,5 - 4 - 0,3 - 5 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,0 - 5 - 0,1L,2 - 3 - 0
16,Washington Commanders,8,8,1,0.500,321,343,-22,4 - 5 - 0,4 - 3 - 1,2 - 3 - 1,0.417,5 - 6 - 1,0.458,3 - 2 - 0,1W,1 - 3 - 1
17,Detroit Lions,9,8,0,0.529,453,427,26,5 - 4 - 0,4 - 4 - 0,5 - 1 - 0,0.833,7 - 5 - 0,0.583,2 - 3 - 0,2W,4 - 1 - 0
18,Jacksonville Jaguars xz,9,8,0,0.529,404,350,54,5 - 3 - 0,4 - 5 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,1 - 4 - 0,5W,5 - 0 - 0
19,Miami Dolphins x,9,8,0,0.529,397,399,-2,6 - 2 - 0,3 - 6 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,2 - 3 - 0,1W,1 - 4 - 0
20,New York Giants x,9,7,1,0.559,365,371,-6,5 - 3 - 1,4 - 4 - 0,1 - 4 - 1,0.250,4 - 7 - 1,0.375,5 - 0 - 0,1L,2 - 3 - 0
21,Pittsburgh Steelers,9,8,0,0.529,308,346,-38,4 - 4 - 0,5 - 4 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,4 - 1 - 0,4W,4 - 1 - 0
22,Seattle Seahawks x,9,8,0,0.529,407,401,6,5 - 4 - 0,4 - 4 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.500,3 - 2 - 0,2W,2 - 3 - 0
23,Baltimore Ravens x,10,7,0,0.588,350,315,35,5 - 3 - 0,5 - 4 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,4 - 1 - 0,2L,2 - 3 - 0
24,Los Angeles Chargers x,10,7,0,0.588,391,384,7,5 - 3 - 0,5 - 4 - 0,2 - 4 - 0,0.333,7 - 5 - 0,0.583,3 - 2 - 0,1L,4 - 1 - 0
25,Cincinnati Bengals xz,12,4,0,0.750,418,322,96,6 - 1 - 0,6 - 3 - 0,3 - 3 - 0,0.500,8 - 3 - 0,0.727,4 - 1 - 0,8W,5 - 0 - 0
26,Dallas Cowboys x,12,5,0,0.706,467,342,125,8 - 1 - 0,4 - 4 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,4 - 1 - 0,1L,3 - 2 - 0
27,Buffalo Bills xz,13,3,0,0.813,455,286,169,7 - 1 - 0,6 - 2 - 0,4 - 2 - 0,0.667,9 - 2 - 0,0.818,4 - 1 - 0,7W,5 - 0 - 0
28,Minnesota Vikings xz,13,4,0,0.765,424,427,-3,8 - 1 - 0,5 - 3 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,5 - 0 - 0,1W,3 - 2 - 0
29,San Francisco 49ers xz,13,4,0,0.765,450,277,173,8 - 1 - 0,5 - 3 - 0,6 - 0 - 0,1.000,10 - 2 - 0,0.833,3 - 2 - 0,10W,5 - 0 - 0
30,Kansas City Chiefs xz*,14,3,0,0.824,496,369,127,7 - 1 - 0,7 - 2 - 0,6 - 0 - 0,1.000,9 - 3 - 0,0.750,5 - 0 - 0,5W,5 - 0 - 0
31,Philadelphia Eagles xz*,14,3,0,0.824,477,344,133,7 - 2 - 0,7 - 1 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,5 - 0 - 0,1W,3 - 2 - 0
